Series,Date,Gain,news,Volume
1,1983-04-21,0.0033479999999999,,230048000
1,1983-04-22,-0.0044639999999999,,127187200
1,1983-04-25,-0.010603,,125708800
1,1983-04-26,0.006138,,99433600
1,1983-04-27,-0.0022319999999999,,86038400
1,1983-04-28,0.0022319999999999,,79408000
1,1983-04-29,0.002232,,308313600
1,1983-05-02,-0.006696,,97081600
1,1983-05-03,-0.002232,,105996800
1,1983-05-04,0.013393,,129113600
1,1983-05-05,0.0150669999999999,,140492800
1,1983-05-06,0.001116,,100150400
1,1983-05-09,-0.003348,,69171200
1,1983-05-10,0.001674,,51900800
1,1983-05-11,-0.006139,,55260800
1,1983-05-12,-0.0022319999999999,,98425600
1,1983-05-13,0.0011159999999999,,48966400
1,1983-05-16,-0.0061379999999999,,69193600
1,1983-05-17,0.000558,,154358400
1,1983-05-18,0.0027899999999999,,157001600
1,1983-05-19,0.007254,,70291200
1,1983-05-20,0.012277,,146092800
1,1983-05-23,0.0027899999999999,,121744000
1,1983-05-24,0.013393,,107699200
1,1983-05-25,-0.002232,,153731200
1,1983-05-26,-0.00279,,105571200
1,1983-05-27,0.0,,56627200
1,1983-05-31,-0.0066959999999999,,45539200
1,1983-06-01,0.001674,,98089600
1,1983-06-02,0.0016739999999999,,79430400
1,1983-06-03,0.012835,,64534400
1,1983-06-06,0.0061379999999999,,104092800
1,1983-06-07,-0.0094869999999999,,98179200
1,1983-06-08,-0.003348,,84044800
1,1983-06-09,-0.001674,,54790400
1,1983-06-10,-0.001116,,37430400
1,1983-06-13,-0.008929,,179267200
1,1983-06-14,-0.0055799999999999,,170531200
1,1983-06-15,-0.006696,,193356800
1,1983-06-16,0.0117179999999999,,122886400
1,1983-06-17,-0.0050219999999999,,56044800
1,1983-06-20,-0.012277,,139574400
1,1983-06-21,0.001674,,125462400
1,1983-06-22,0.006697,,140963200
1,1983-06-23,-0.006697,,133996800
1,1983-06-24,-0.001674,,47644800
1,1983-06-27,-0.0128349999999999,,123043200
1,1983-06-28,-0.015625,,349171200
1,1983-06-29,0.0100449999999999,,294380800
1,1983-06-30,-0.001116,,110566400
1,1983-07-01,0.001674,,172256000
1,1983-07-05,-0.008928,,82051200
1,1983-07-06,0.000558,,95916800
1,1983-07-07,-0.0027909999999999,,89443200
1,1983-07-08,-0.002232,,70179200
1,1983-07-11,0.005581,,112918400
1,1983-07-12,-0.005023,,75196800
1,1983-07-13,-0.001116,,129001600
1,1983-07-14,-0.0005579999999999,,74905600
1,1983-07-15,-0.007254,,67961600
1,1983-07-18,-0.000558,,81625600
1,1983-07-19,-0.002232,,171136000
1,1983-07-20,-0.0111609999999999,,304886400
1,1983-07-21,0.0094859999999999,,317385600
1,1983-07-22,0.0016749999999999,,116435200
1,1983-07-25,-0.0027909999999999,,76428800
1,1983-07-26,-0.017857,,268979200
1,1983-07-27,-0.0128349999999999,,300316800
1,1983-07-28,-0.0100439999999999,,270480000
1,1983-07-29,0.0039059999999999,,220326400
1,1983-08-01,-0.001674,,232444800
1,1983-08-02,-0.0005579999999999,,101651200
1,1983-08-03,0.0022319999999999,,123827200
1,1983-08-04,-0.007254,,292118400
1,1983-08-05,0.00279,,131420800
1,1983-08-08,0.000558,,76809600
1,1983-08-09,0.001674,,150371200
1,1983-08-10,-0.000558,,161974400
1,1983-08-11,-0.002232,,90182400
1,1983-08-12,-0.001116,,74636800
1,1983-08-15,0.003906,,152275200
1,1983-08-16,-0.002232,,91369600
1,1983-08-17,-0.0033489999999999,,94438400
1,1983-08-18,0.0016749999999999,,81737600
1,1983-08-19,0.001116,,58598400
1,1983-08-22,-0.000558,,85366400
1,1983-08-23,-0.0078129999999999,,93587200
1,1983-08-24,-0.006696,,113299200
1,1983-08-25,0.001116,,189772800
1,1983-08-26,0.001674,,93184000
1,1983-08-29,0.0016739999999999,,138297600
1,1983-08-30,0.007254,,233945600
1,1983-08-31,0.0184159999999999,,200233600
1,1983-09-01,-0.0039069999999999,,218131200
1,1983-09-02,0.0072549999999999,,129337600
1,1983-09-06,0.0027899999999999,,181686400
